number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.9566995948071365,2026-04-23 13:53:39.673141,2026-04-23 13:53:49.604115,0 days 00:00:09.930974,0.6624074561769746,0.1205712628744377,8,144,0.8394633936788146,COMPLETE
1,0.9564908803678646,2026-04-23 13:53:49.607116,2026-04-23 13:53:58.588240,0 days 00:00:08.981124,0.8832290311184181,0.19030368381735815,3,89,0.8404460046972835,COMPLETE
2,0.9565854971887573,2026-04-23 13:53:58.592241,2026-04-23 13:54:07.682245,0 days 00:00:09.090004,0.6727299868828402,0.16967533607196555,8,55,0.6849356442713105,COMPLETE
3,0.9562436959750332,2026-04-23 13:54:07.685242,2026-04-23 13:54:16.603338,0 days 00:00:08.918096,0.7164916560792167,0.05958389350068958,4,96,0.7727780074568463,COMPLETE
4,0.9562686925248531,2026-04-23 13:54:16.605340,2026-04-23 13:54:25.988367,0 days 00:00:09.383027,0.7824279936868144,0.027010527749605478,3,203,0.7465447373174767,COMPLETE
5,0.9565673306813675,2026-04-23 13:54:25.992368,2026-04-23 13:54:32.602367,0 days 00:00:06.609999,0.6185801650879991,0.05748924681991978,4,247,0.836965827544817,PRUNED
6,0.9560161264522918,2026-04-23 13:54:32.604367,2026-04-23 13:54:35.882186,0 days 00:00:03.277819,0.9862528132298237,0.012476394272569451,4,202,0.9795542149013333,PRUNED
7,0.9561211217195837,2026-04-23 13:54:35.885186,2026-04-23 13:54:39.305710,0 days 00:00:03.420524,0.7760609974958406,0.013940346079873234,4,252,0.8736932106048627,PRUNED
8,0.9560567905911198,2026-04-23 13:54:39.309707,2026-04-23 13:54:42.432493,0 days 00:00:03.122786,0.7035119926400067,0.011240768803005551,5,80,0.9637281608315128,PRUNED
9,0.9566333979688615,2026-04-23 13:54:42.434778,2026-04-23 13:54:48.908254,0 days 00:00:06.473476,0.6739417822102108,0.05864129169696527,4,216,0.8186841117373118,PRUNED
10,0.956533232282958,2026-04-23 13:54:48.911253,2026-04-23 13:54:58.700313,0 days 00:00:09.789060,0.6061470949312417,0.10672112706919769,8,144,0.6071847502459279,COMPLETE
11,0.9563307527130164,2026-04-23 13:54:58.703314,2026-04-23 13:55:08.554448,0 days 00:00:09.851134,0.8574850946495294,0.26818667990692846,8,144,0.6719331269140577,COMPLETE
12,0.9563189774923931,2026-04-23 13:55:08.558450,2026-04-23 13:55:11.712006,0 days 00:00:03.153556,0.6630805404110562,0.13001429961399444,7,53,0.7134092165474106,PRUNED
13,0.9565335476209956,2026-04-23 13:55:11.715009,2026-04-23 13:55:21.307293,0 days 00:00:09.592284,0.7372114918378742,0.11678558089474768,7,135,0.9148886768311731,COMPLETE
14,0.9567355657246736,2026-04-23 13:55:21.311293,2026-04-23 13:55:30.773204,0 days 00:00:09.461911,0.6453350549066903,0.2947927028325085,7,125,0.6345475687277082,COMPLETE
15,0.9565916094079968,2026-04-23 13:55:30.777205,2026-04-23 13:55:41.519598,0 days 00:00:10.742393,0.6012585513745046,0.29596284206078805,7,292,0.6311385232154374,COMPLETE
16,0.9565998744131109,2026-04-23 13:55:41.523598,2026-04-23 13:55:47.840123,0 days 00:00:06.316525,0.8752918047800795,0.08663296811882057,6,121,0.8969185264404376,PRUNED
17,0.9563041535757763,2026-04-23 13:55:47.843121,2026-04-23 13:55:51.250768,0 days 00:00:03.407647,0.835695144113078,0.03265087355985685,6,167,0.7800911589038579,PRUNED
18,0.956760687743984,2026-04-23 13:55:51.254766,2026-04-23 13:56:01.107382,0 days 00:00:09.852616,0.6420252069732565,0.19922921159010218,7,159,0.7315356374954423,COMPLETE
19,0.9566967139981079,2026-04-23 13:56:01.110382,2026-04-23 13:56:07.635487,0 days 00:00:06.525105,0.9258360514720572,0.16175841496458715,6,171,0.651129729713056,PRUNED
20,0.9567470119641625,2026-04-23 13:56:07.638484,2026-04-23 13:56:17.044735,0 days 00:00:09.406251,0.7581387729470663,0.2248301702973424,7,112,0.7181154617570887,COMPLETE
21,0.9567561914110659,2026-04-23 13:56:17.047359,2026-04-23 13:56:26.360932,0 days 00:00:09.313573,0.6421120227113679,0.2501912995392994,7,109,0.7261256795179628,COMPLETE
22,0.956728605019478,2026-04-23 13:56:26.364927,2026-04-23 13:56:29.665929,0 days 00:00:03.301002,0.7464688795942379,0.21354045036182726,7,116,0.7286504214218367,PRUNED
23,0.9565118112173028,2026-04-23 13:56:29.669927,2026-04-23 13:56:32.915989,0 days 00:00:03.246062,0.8226890330439331,0.21865539581657042,6,110,0.7006458045865077,PRUNED
24,0.9566720146880504,2026-04-23 13:56:32.918985,2026-04-23 13:56:36.261322,0 days 00:00:03.342337,0.695078795064439,0.07634803883248459,5,163,0.7487209301723395,PRUNED
25,0.9565227901359328,2026-04-23 13:56:36.263322,2026-04-23 13:56:39.496507,0 days 00:00:03.233185,0.636069621178971,0.1498133547593864,7,77,0.7955055233248127,PRUNED
26,0.9565690699931568,2026-04-23 13:56:39.498505,2026-04-23 13:56:46.328533,0 days 00:00:06.830028,0.756013894881392,0.03635040565189822,8,188,0.7587182441969147,PRUNED
