feature,importance
cat__transaction_type,84.10466213591363
remainder__balance_after_ngn,2.888261460641621
remainder__balance_to_amount_ratio,2.4351187037684965
remainder__hour,2.1842238766018385
remainder__fee_to_amount_ratio,1.8385621867038084
remainder__day_of_week,1.468626533333725
remainder__amount_ngn,1.2258787684215005
cat__channel,0.9116215545933979
cat__kyc_tier,0.8928114290651921
cat__device_os,0.768371809466375
remainder__fee_ngn,0.44934092346695104
remainder__is_round_amount,0.3090734160549469
remainder__is_night,0.21499133320969135
remainder__is_weekend,0.17022647400216415
remainder__churn_30d,0.13822939475667131
