number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.9565931760562005,2026-04-23 13:56:50.153259,2026-04-23 13:57:00.042650,0 days 00:00:09.889391,0.6624074561769746,0.1205712628744377,8,144,0.8394633936788146,COMPLETE
1,0.9563942653418304,2026-04-23 13:57:00.044651,2026-04-23 13:57:08.979966,0 days 00:00:08.935315,0.8832290311184181,0.19030368381735815,3,89,0.8404460046972835,COMPLETE
2,0.9565464146892547,2026-04-23 13:57:08.983968,2026-04-23 13:57:17.859176,0 days 00:00:08.875208,0.6727299868828402,0.16967533607196555,8,55,0.6849356442713105,COMPLETE
3,0.9563914912695036,2026-04-23 13:57:17.861177,2026-04-23 13:57:26.860354,0 days 00:00:08.999177,0.7164916560792167,0.05958389350068958,4,96,0.7727780074568463,COMPLETE
4,0.9562280412817499,2026-04-23 13:57:26.862354,2026-04-23 13:57:36.407565,0 days 00:00:09.545211,0.7824279936868144,0.027010527749605478,3,203,0.7465447373174767,COMPLETE
5,0.9563221835807636,2026-04-23 13:57:36.409566,2026-04-23 13:57:40.188341,0 days 00:00:03.778775,0.6185801650879991,0.05748924681991978,4,247,0.836965827544817,PRUNED
6,0.9562277769145696,2026-04-23 13:57:40.190332,2026-04-23 13:57:43.462045,0 days 00:00:03.271713,0.9862528132298237,0.012476394272569451,4,202,0.9795542149013333,PRUNED
7,0.9561539157090211,2026-04-23 13:57:43.464046,2026-04-23 13:57:47.073639,0 days 00:00:03.609593,0.7760609974958406,0.013940346079873234,4,252,0.8736932106048627,PRUNED
8,0.955787166985353,2026-04-23 13:57:47.076629,2026-04-23 13:57:50.309602,0 days 00:00:03.232973,0.7035119926400067,0.011240768803005551,5,80,0.9637281608315128,PRUNED
9,0.9562581526485081,2026-04-23 13:57:50.311602,2026-04-23 13:57:54.020850,0 days 00:00:03.709248,0.6739417822102108,0.05864129169696527,4,216,0.8186841117373118,PRUNED
10,0.9565091764131267,2026-04-23 13:57:54.023702,2026-04-23 13:58:03.948940,0 days 00:00:09.925238,0.6061470949312417,0.10672112706919769,8,144,0.6071847502459279,COMPLETE
11,0.9569028656431368,2026-04-23 13:58:03.951939,2026-04-23 13:58:13.623966,0 days 00:00:09.672027,0.8574850946495294,0.26818667990692846,8,144,0.6719331269140577,COMPLETE
12,0.9566680267811781,2026-04-23 13:58:13.626967,2026-04-23 13:58:23.354867,0 days 00:00:09.727900,0.8671630964326921,0.2732259628812844,7,144,0.6861163483524778,COMPLETE
13,0.9563947295206284,2026-04-23 13:58:23.357867,2026-04-23 13:58:26.791787,0 days 00:00:03.433920,0.8734486066120252,0.2989089446865073,7,154,0.6609562456023955,PRUNED
14,0.9562951705916336,2026-04-23 13:58:26.794789,2026-04-23 13:58:30.205631,0 days 00:00:03.410842,0.8763893801604574,0.29692884239189027,7,114,0.7097939893129923,PRUNED
15,0.9566441075941005,2026-04-23 13:58:30.207629,2026-04-23 13:58:41.910528,0 days 00:00:11.702899,0.9473010127629954,0.10242386093120766,7,292,0.6313849539867122,COMPLETE
16,0.9567132771041246,2026-04-23 13:58:41.914529,2026-04-23 13:58:52.338305,0 days 00:00:10.423776,0.83348683644843,0.1918021959573362,6,174,0.7258379750108127,COMPLETE
17,0.9566298597686848,2026-04-23 13:58:52.340306,2026-04-23 13:59:02.918383,0 days 00:00:10.578077,0.8364781592353872,0.17674759144500546,6,179,0.7526669158094709,COMPLETE
18,0.9562821737584315,2026-04-23 13:59:02.921384,2026-04-23 13:59:06.204308,0 days 00:00:03.282924,0.9281889012746767,0.03339552788718754,6,113,0.7178570777746993,PRUNED
19,0.9568470384467676,2026-04-23 13:59:06.206311,2026-04-23 13:59:13.339787,0 days 00:00:07.133476,0.8177960196483971,0.13698618803627244,5,187,0.6439205886948415,PRUNED
20,0.9562929144058012,2026-04-23 13:59:13.342785,2026-04-23 13:59:17.345330,0 days 00:00:04.002545,0.757323769414869,0.07942383092448925,6,231,0.7817731247854242,PRUNED
21,0.9566351736980442,2026-04-23 13:59:17.348321,2026-04-23 13:59:27.511965,0 days 00:00:10.163644,0.8467681107812214,0.2455721950193799,7,161,0.7020228276855583,COMPLETE
22,0.9565127740283078,2026-04-23 13:59:27.514965,2026-04-23 13:59:30.825369,0 days 00:00:03.310404,0.9098232895109646,0.2220333682044344,8,127,0.6736605830278151,PRUNED
23,0.9564223368048583,2026-04-23 13:59:30.828364,2026-04-23 13:59:34.363480,0 days 00:00:03.535116,0.81690906062664,0.16059817356131692,7,168,0.7309962350571283,PRUNED
24,0.956671249198088,2026-04-23 13:59:34.366480,2026-04-23 13:59:44.153786,0 days 00:00:09.787306,0.8591297130863381,0.22672071862332835,6,124,0.6221399290665329,COMPLETE
25,0.9567909160918732,2026-04-23 13:59:44.159296,2026-04-23 13:59:50.939964,0 days 00:00:06.780668,0.9589701550818615,0.20342498965303307,5,123,0.6065968556523058,PRUNED
