number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.9563312860863246,2026-04-23 14:10:30.992232,2026-04-23 14:10:38.819167,0 days 00:00:07.826935,0.6624074561769746,0.1205712628744377,8,144,0.8394633936788146,COMPLETE
1,0.9563637307255703,2026-04-23 14:10:38.822168,2026-04-23 14:10:45.778108,0 days 00:00:06.955940,0.8832290311184181,0.19030368381735815,3,89,0.8404460046972835,COMPLETE
2,0.956563668317428,2026-04-23 14:10:45.783109,2026-04-23 14:10:52.823070,0 days 00:00:07.039961,0.6727299868828402,0.16967533607196555,8,55,0.6849356442713105,COMPLETE
3,0.9562920098071851,2026-04-23 14:10:52.826072,2026-04-23 14:10:59.907274,0 days 00:00:07.081202,0.7164916560792167,0.05958389350068958,4,96,0.7727780074568463,COMPLETE
4,0.9563411249742751,2026-04-23 14:10:59.911275,2026-04-23 14:11:07.239456,0 days 00:00:07.328181,0.7824279936868144,0.027010527749605478,3,203,0.7465447373174767,COMPLETE
5,0.9563812432364395,2026-04-23 14:11:07.244457,2026-04-23 14:11:09.978033,0 days 00:00:02.733576,0.6185801650879991,0.05748924681991978,4,247,0.836965827544817,PRUNED
6,0.9563508579877338,2026-04-23 14:11:09.981025,2026-04-23 14:11:17.285777,0 days 00:00:07.304752,0.9862528132298237,0.012476394272569451,4,202,0.9795542149013333,COMPLETE
7,0.9563735257281802,2026-04-23 14:11:17.288778,2026-04-23 14:11:20.037240,0 days 00:00:02.748462,0.7760609974958406,0.013940346079873234,4,252,0.8736932106048627,PRUNED
8,0.9562037662444428,2026-04-23 14:11:20.040240,2026-04-23 14:11:22.512444,0 days 00:00:02.472204,0.7035119926400067,0.011240768803005551,5,80,0.9637281608315128,PRUNED
9,0.956319593559377,2026-04-23 14:11:22.515445,2026-04-23 14:11:25.267953,0 days 00:00:02.752508,0.6739417822102108,0.05864129169696527,4,216,0.8186841117373118,PRUNED
10,0.9562928589114077,2026-04-23 14:11:25.269955,2026-04-23 14:11:33.331006,0 days 00:00:08.061051,0.8607466203112714,0.2704729722717776,8,146,0.6118421668094784,COMPLETE
11,0.9565029049998716,2026-04-23 14:11:33.334007,2026-04-23 14:11:35.923711,0 days 00:00:02.589704,0.8953622178900082,0.2808838194125936,7,59,0.6719331269140577,PRUNED
12,0.9565080142840214,2026-04-23 14:11:35.927710,2026-04-23 14:11:38.608503,0 days 00:00:02.680793,0.8893052496440809,0.13436119963045842,6,112,0.7142203629900179,PRUNED
13,0.9564494020524581,2026-04-23 14:11:38.613493,2026-04-23 14:11:41.183328,0 days 00:00:02.569835,0.9686636756393828,0.13610581388233609,6,52,0.9155616559319332,PRUNED
14,0.9563203691678713,2026-04-23 14:11:41.185329,2026-04-23 14:11:43.955541,0 days 00:00:02.770212,0.832330984374404,0.1737183744716791,7,131,0.6345475687277082,PRUNED
15,0.9564138211152816,2026-04-23 14:11:43.961047,2026-04-23 14:11:52.014301,0 days 00:00:08.053254,0.753949353095978,0.08962717626942558,3,292,0.7019796076799771,COMPLETE
16,0.9564427808811814,2026-04-23 14:11:52.016302,2026-04-23 14:12:01.014117,0 days 00:00:08.997815,0.7381181693674008,0.08719209000999648,7,300,0.6966219731921359,COMPLETE
17,0.9565204714005485,2026-04-23 14:12:01.017119,2026-04-23 14:12:04.186068,0 days 00:00:03.168949,0.603038845136806,0.028069002597357614,7,300,0.6657651927336372,PRUNED
18,0.9564286797912055,2026-04-23 14:12:04.189069,2026-04-23 14:12:12.386654,0 days 00:00:08.197585,0.7283400714479268,0.08837021975466317,8,178,0.7539871612489546,COMPLETE
19,0.9565103056295263,2026-04-23 14:12:12.389655,2026-04-23 14:12:21.002823,0 days 00:00:08.613168,0.6599691302799447,0.04083161068643748,7,265,0.7097759217038863,COMPLETE
20,0.9565265738038311,2026-04-23 14:12:21.008826,2026-04-23 14:12:23.968582,0 days 00:00:02.959756,0.6525613553439827,0.03196704633443982,6,262,0.7850856852040495,PRUNED
21,0.9564780104956147,2026-04-23 14:12:23.972586,2026-04-23 14:12:32.730387,0 days 00:00:08.757801,0.6871343214762989,0.03874880492278571,7,275,0.708040876089836,COMPLETE
22,0.9565768258104137,2026-04-23 14:12:32.732388,2026-04-23 14:12:35.977150,0 days 00:00:03.244762,0.6393783999957466,0.03703699669801246,8,270,0.7283257640544962,PRUNED
23,0.9562277948496051,2026-04-23 14:12:35.980151,2026-04-23 14:12:38.971671,0 days 00:00:02.991520,0.689140498436157,0.019116200320123282,7,230,0.6471419818452485,PRUNED
24,0.9566089342550291,2026-04-23 14:12:38.975669,2026-04-23 14:12:48.243485,0 days 00:00:09.267816,0.6234844831161459,0.044591402404334485,8,274,0.6723331431967124,COMPLETE
25,0.956512815069288,2026-04-23 14:12:48.246480,2026-04-23 14:12:56.481472,0 days 00:00:08.234992,0.636069621178971,0.04288759486858482,8,167,0.6044165475186943,COMPLETE
26,0.9564916334397576,2026-04-23 14:12:56.483473,2026-04-23 14:12:59.434237,0 days 00:00:02.950764,0.6172803398163924,0.018790080754440292,8,183,0.6097681953094677,PRUNED
