number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.9564994330227096,2026-04-23 14:32:14.179042,2026-04-23 14:32:31.689025,0 days 00:00:17.509983,0.6624074561769746,0.1205712628744377,8,144,0.8394633936788146,COMPLETE
1,0.9563455527610748,2026-04-23 14:32:31.693024,2026-04-23 14:32:44.693674,0 days 00:00:13.000650,0.8832290311184181,0.19030368381735815,3,89,0.8404460046972835,COMPLETE
2,0.9563804281384782,2026-04-23 14:32:44.698672,2026-04-23 14:32:57.199773,0 days 00:00:12.501101,0.6727299868828402,0.16967533607196555,8,55,0.6849356442713105,COMPLETE
3,0.9561114825675093,2026-04-23 14:32:57.203773,2026-04-23 14:33:10.978174,0 days 00:00:13.774401,0.7164916560792167,0.05958389350068958,4,96,0.7727780074568463,COMPLETE
4,0.9560369083173788,2026-04-23 14:33:10.983175,2026-04-23 14:33:27.688188,0 days 00:00:16.705013,0.7824279936868144,0.027010527749605478,3,203,0.7465447373174767,COMPLETE
5,0.9561978319189145,2026-04-23 14:33:27.692188,2026-04-23 14:33:35.121905,0 days 00:00:07.429717,0.6185801650879991,0.05748924681991978,4,247,0.836965827544817,PRUNED
6,0.9562362432626131,2026-04-23 14:33:35.125905,2026-04-23 14:33:41.223180,0 days 00:00:06.097275,0.9862528132298237,0.012476394272569451,4,202,0.9795542149013333,PRUNED
7,0.9561887910548728,2026-04-23 14:33:41.227563,2026-04-23 14:33:48.376365,0 days 00:00:07.148802,0.7760609974958406,0.013940346079873234,4,252,0.8736932106048627,PRUNED
8,0.9562644958143364,2026-04-23 14:33:48.380351,2026-04-23 14:34:01.930575,0 days 00:00:13.550224,0.7035119926400067,0.011240768803005551,5,80,0.9637281608315128,COMPLETE
9,0.9562494312541462,2026-04-23 14:34:01.933576,2026-04-23 14:34:04.900180,0 days 00:00:02.966604,0.6739417822102108,0.05864129169696527,4,216,0.8186841117373118,PRUNED
10,0.9564492112161621,2026-04-23 14:34:04.903177,2026-04-23 14:34:13.006995,0 days 00:00:08.103818,0.6061470949312417,0.10672112706919769,8,144,0.6071847502459279,COMPLETE
11,0.95639748056758,2026-04-23 14:34:13.009996,2026-04-23 14:34:27.387275,0 days 00:00:14.377279,0.6014947911252734,0.11285320502212905,8,144,0.6342340273631956,COMPLETE
12,0.9563120092998066,2026-04-23 14:34:27.392275,2026-04-23 14:34:33.732839,0 days 00:00:06.340564,0.6068168224647184,0.10081853902880024,7,144,0.6207679281222177,PRUNED
13,0.9565176253494784,2026-04-23 14:34:33.735522,2026-04-23 14:34:51.820231,0 days 00:00:18.084709,0.8583425762812964,0.29635086826660273,7,154,0.9148886768311731,COMPLETE
14,0.9564694634645976,2026-04-23 14:34:51.826233,2026-04-23 14:35:11.501183,0 days 00:00:19.674950,0.8680403705847435,0.2969969092146696,7,171,0.9088259943960009,COMPLETE
15,0.9564416155701569,2026-04-23 14:35:11.507184,2026-04-23 14:35:20.437192,0 days 00:00:08.930008,0.8643422901169147,0.29596284206078805,7,292,0.938798449355466,PRUNED
