feature,importance
cat__transaction_type,0.96805096
remainder__is_night,0.0030363507
remainder__amount_ngn,0.0028627247
remainder__hour,0.0025389818
cat__device_os,0.002483968
cat__channel,0.0024839453
remainder__fee_ngn,0.0024528343
remainder__balance_after_ngn,0.0024500496
cat__kyc_tier,0.002426921
remainder__balance_to_amount_ratio,0.0024046318
remainder__day_of_week,0.0023339037
remainder__fee_to_amount_ratio,0.002224302
remainder__is_round_amount,0.0021456224
remainder__churn_30d,0.002104684
remainder__is_weekend,0.0
