number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
0,0.9565960725275549,2026-04-23 13:59:54.750960,2026-04-23 14:00:11.053497,0 days 00:00:16.302537,8,144,3.968793330444372,0.1205712628744377,COMPLETE
1,0.9562278562802136,2026-04-23 14:00:11.056500,2026-04-23 14:00:24.466106,0 days 00:00:13.409606,3,89,7.348118405270449,0.012184186502221764,COMPLETE
2,0.9564991097060481,2026-04-23 14:00:24.469107,2026-04-23 14:00:41.049168,0 days 00:00:16.580061,7,200,9.330606024425668,0.010725209743171996,COMPLETE
3,0.9562349355915186,2026-04-23 14:00:41.052168,2026-04-23 14:00:57.368289,0 days 00:00:16.316121,4,258,1.5254729458052607,0.01855998084649059,COMPLETE
4,0.9564272684868156,2026-04-23 14:00:57.372291,2026-04-23 14:01:19.191647,0 days 00:00:21.819356,6,126,1.9553708662745248,0.04345454109729477,COMPLETE
5,0.9559303058795032,2026-04-23 14:01:19.195645,2026-04-23 14:01:28.351420,0 days 00:00:09.155775,3,203,2.324672848950434,0.027010527749605478,PRUNED
6,0.9563113825253386,2026-04-23 14:01:28.356497,2026-04-23 14:01:38.030153,0 days 00:00:09.673656,7,164,3.2676417657817622,0.019721610970574007,PRUNED
7,0.9559082488790455,2026-04-23 14:01:38.033153,2026-04-23 14:01:47.130087,0 days 00:00:09.096934,3,198,1.4808945119975185,0.07896186801026692,PRUNED
8,0.956761789375828,2026-04-23 14:01:47.134087,2026-04-23 14:02:11.425091,0 days 00:00:24.291004,8,66,6.432759992849893,0.26690431824362526,COMPLETE
9,0.9558592472388968,2026-04-23 14:02:11.430088,2026-04-23 14:02:19.765266,0 days 00:00:08.335178,3,126,2.7551959649510764,0.1024932221692416,PRUNED
10,0.9563132119287082,2026-04-23 14:02:19.770210,2026-04-23 14:02:27.482698,0 days 00:00:07.712488,5,55,5.124362523717802,0.2704729722717776,PRUNED
11,0.9566694632505248,2026-04-23 14:02:27.487419,2026-04-23 14:02:51.269295,0 days 00:00:23.781876,8,58,4.763479755501963,0.2621521340768056,COMPLETE
12,0.9564197975250486,2026-04-23 14:02:51.274292,2026-04-23 14:02:59.494159,0 days 00:00:08.219867,8,58,5.589773202159074,0.29234782984805413,PRUNED
