feature,importance
cat__transaction_type_cashout,79.91560376497544
remainder__balance_after_ngn,3.4862351677246206
remainder__balance_to_amount_ratio,2.8620993527911223
remainder__hour,2.638616612396221
remainder__fee_to_amount_ratio,2.134652642710137
remainder__day_of_week,1.7454068499411979
remainder__amount_ngn,1.3607479927869321
remainder__fee_ngn,0.7699458174584313
cat__device_os_feature_phone,0.615026472266384
cat__kyc_tier_tier2,0.5370008856327494
cat__channel_ussd,0.4986940578725635
cat__channel_app,0.40206479503188947
remainder__is_round_amount,0.40000452167678013
cat__kyc_tier_tier3,0.348570181379508
cat__device_os_ios,0.3223391255243399
cat__transaction_type_billpay,0.3110111681476495
cat__transaction_type_p2p_send,0.2981128113030987
remainder__is_night,0.285169913417904
remainder__is_weekend,0.22031548809180673
cat__transaction_type_p2p_receive,0.20054720256364605
