feature,importance
cat__transaction_type,79.88111027029413
remainder__balance_after_ngn,3.8152204684597093
remainder__balance_to_amount_ratio,3.0404583999018127
remainder__hour,2.7915389296484547
remainder__fee_to_amount_ratio,2.1963258342885905
remainder__day_of_week,1.8637049780024455
remainder__amount_ngn,1.457873038220855
cat__channel,1.1871806203415363
cat__device_os,1.093893251334561
cat__kyc_tier,1.084128263170499
remainder__fee_ngn,0.6541581357479029
remainder__is_round_amount,0.3392968195341846
remainder__is_weekend,0.22306043050518118
remainder__is_night,0.2101472174116643
remainder__churn_30d,0.1619033431384658
