number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.956708990868433,2026-04-23 14:29:01.322133,2026-04-23 14:29:15.386644,0 days 00:00:14.064511,0.6624074561769746,0.1205712628744377,8,144,0.8394633936788146,COMPLETE
1,0.9563527078399211,2026-04-23 14:29:15.391645,2026-04-23 14:29:26.446204,0 days 00:00:11.054559,0.8832290311184181,0.19030368381735815,3,89,0.8404460046972835,COMPLETE
2,0.9565640872825627,2026-04-23 14:29:26.450195,2026-04-23 14:29:37.813598,0 days 00:00:11.363403,0.6727299868828402,0.16967533607196555,8,55,0.6849356442713105,COMPLETE
3,0.9560757456934953,2026-04-23 14:29:37.817599,2026-04-23 14:29:49.094525,0 days 00:00:11.276926,0.7164916560792167,0.05958389350068958,4,96,0.7727780074568463,COMPLETE
4,0.9560473484929352,2026-04-23 14:29:49.099525,2026-04-23 14:30:01.714695,0 days 00:00:12.615170,0.7824279936868144,0.027010527749605478,3,203,0.7465447373174767,COMPLETE
5,0.9565517264271172,2026-04-23 14:30:01.718696,2026-04-23 14:30:11.077715,0 days 00:00:09.359019,0.6185801650879991,0.05748924681991978,4,247,0.836965827544817,PRUNED
6,0.9561278343304777,2026-04-23 14:30:11.081712,2026-04-23 14:30:15.658736,0 days 00:00:04.577024,0.9862528132298237,0.012476394272569451,4,202,0.9795542149013333,PRUNED
7,0.9562136114487273,2026-04-23 14:30:15.662736,2026-04-23 14:30:20.594731,0 days 00:00:04.931995,0.7760609974958406,0.013940346079873234,4,252,0.8736932106048627,PRUNED
8,0.9562265772599691,2026-04-23 14:30:20.598731,2026-04-23 14:30:24.566407,0 days 00:00:03.967676,0.7035119926400067,0.011240768803005551,5,80,0.9637281608315128,PRUNED
9,0.956161319101342,2026-04-23 14:30:24.570408,2026-04-23 14:30:29.402183,0 days 00:00:04.831775,0.6739417822102108,0.05864129169696527,4,216,0.8186841117373118,PRUNED
10,0.9565474064219669,2026-04-23 14:30:29.407186,2026-04-23 14:30:43.582048,0 days 00:00:14.174862,0.6061470949312417,0.10672112706919769,8,144,0.6071847502459279,COMPLETE
11,0.956529618923027,2026-04-23 14:30:43.587048,2026-04-23 14:30:48.614451,0 days 00:00:05.027403,0.8574850946495294,0.26818667990692846,8,144,0.6719331269140577,PRUNED
12,0.9564452427005892,2026-04-23 14:30:48.618110,2026-04-23 14:30:56.220046,0 days 00:00:07.601936,0.6630805404110562,0.13001429961399444,7,53,0.7134092165474106,PRUNED
13,0.9564706036736661,2026-04-23 14:30:56.224045,2026-04-23 14:31:00.969085,0 days 00:00:04.745040,0.7372114918378742,0.11678558089474768,7,135,0.9148886768311731,PRUNED
14,0.9565213068519808,2026-04-23 14:31:00.972410,2026-04-23 14:31:05.695749,0 days 00:00:04.723339,0.6453350549066903,0.2947927028325085,7,125,0.6345475687277082,PRUNED
15,0.9566097088680544,2026-04-23 14:31:05.699749,2026-04-23 14:31:22.418811,0 days 00:00:16.719062,0.8365712172821215,0.1579090172549183,6,292,0.7057063802548302,COMPLETE
16,0.956662322214127,2026-04-23 14:31:22.423813,2026-04-23 14:31:28.276143,0 days 00:00:05.852330,0.8550999529674668,0.08719209000999648,6,300,0.758297866718882,PRUNED
17,0.95652955592733,2026-04-23 14:31:28.280134,2026-04-23 14:31:34.207361,0 days 00:00:05.927227,0.9518455706906047,0.03482749734687407,6,300,0.902636431185926,PRUNED
18,0.9564366524291024,2026-04-23 14:31:34.210361,2026-04-23 14:31:47.621356,0 days 00:00:13.410995,0.9133986966390829,0.1848446604403958,6,161,0.788534426758075,COMPLETE
19,0.9563151469792522,2026-04-23 14:31:47.625356,2026-04-23 14:31:53.045193,0 days 00:00:05.419837,0.8147555604876493,0.08069522268316309,5,264,0.7143579453026031,PRUNED
20,0.9564462635402083,2026-04-23 14:31:53.049195,2026-04-23 14:31:58.167322,0 days 00:00:05.118127,0.7541892681916442,0.02833739354294454,7,179,0.8775247473691397,PRUNED
21,0.9564272920543823,2026-04-23 14:31:58.172322,2026-04-23 14:32:09.377122,0 days 00:00:11.204800,0.8307796695558711,0.17178329359598113,8,54,0.668147523279367,COMPLETE
