feature,importance
remainder__balance_after_ngn,571
remainder__balance_to_amount_ratio,467
remainder__amount_ngn,409
remainder__hour,376
remainder__fee_to_amount_ratio,320
remainder__day_of_week,258
cat__transaction_type_cashout,87
remainder__is_round_amount,72
cat__device_os_feature_phone,67
cat__channel_ussd,59
cat__kyc_tier_tier2,59
cat__channel_app,50
remainder__fee_ngn,41
cat__device_os_ios,25
cat__transaction_type_p2p_receive,24
cat__kyc_tier_tier3,21
cat__transaction_type_p2p_send,21
cat__transaction_type_billpay,19
remainder__churn_30d,18
cat__channel_web,14
