number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
0,0.9565119939631758,2026-04-23 14:35:25.425762,2026-04-23 14:35:39.546531,0 days 00:00:14.120769,8,144,3.968793330444372,0.1205712628744377,COMPLETE
1,0.9561797882974178,2026-04-23 14:35:39.549531,2026-04-23 14:35:50.483134,0 days 00:00:10.933603,3,89,7.348118405270449,0.012184186502221764,COMPLETE
2,0.9564431570400718,2026-04-23 14:35:50.487136,2026-04-23 14:36:06.035941,0 days 00:00:15.548805,7,200,9.330606024425668,0.010725209743171996,COMPLETE
3,0.9561763537696691,2026-04-23 14:36:06.039942,2026-04-23 14:36:21.800572,0 days 00:00:15.760630,4,258,1.5254729458052607,0.01855998084649059,COMPLETE
4,0.9563633358293142,2026-04-23 14:36:21.803573,2026-04-23 14:36:33.333497,0 days 00:00:11.529924,6,126,1.9553708662745248,0.04345454109729477,COMPLETE
5,0.9559847914170236,2026-04-23 14:36:33.336499,2026-04-23 14:36:38.333772,0 days 00:00:04.997273,3,203,2.324672848950434,0.027010527749605478,PRUNED
6,0.9562806027211721,2026-04-23 14:36:38.338772,2026-04-23 14:36:54.718993,0 days 00:00:16.380221,7,164,3.2676417657817622,0.019721610970574007,COMPLETE
7,0.9562406021305989,2026-04-23 14:36:54.722992,2026-04-23 14:37:01.641331,0 days 00:00:06.918339,3,198,1.4808945119975185,0.07896186801026692,PRUNED
8,0.9564007462937829,2026-04-23 14:37:01.645331,2026-04-23 14:37:08.297907,0 days 00:00:06.652576,8,66,6.432759992849893,0.26690431824362526,PRUNED
9,0.9562483980711777,2026-04-23 14:37:08.302907,2026-04-23 14:37:14.848220,0 days 00:00:06.545313,3,126,2.7551959649510764,0.1024932221692416,PRUNED
10,0.9560549477736523,2026-04-23 14:37:14.852221,2026-04-23 14:37:24.810904,0 days 00:00:09.958683,5,287,4.363130402754646,0.18561054753713674,PRUNED
11,0.9563369958083769,2026-04-23 14:37:24.815906,2026-04-23 14:37:35.937908,0 days 00:00:11.122002,8,234,9.358717802261477,0.1488215578690529,PRUNED
12,0.9564425196445114,2026-04-23 14:37:35.941904,2026-04-23 14:37:56.828380,0 days 00:00:20.886476,7,164,4.7356850043978875,0.04858690744611037,COMPLETE
13,0.9562172661211878,2026-04-23 14:37:56.835213,2026-04-23 14:38:03.709558,0 days 00:00:06.874345,7,129,4.5137369790794715,0.08308389686685189,PRUNED
14,0.9559576207007073,2026-04-23 14:38:03.712559,2026-04-23 14:38:12.549246,0 days 00:00:08.836687,6,216,9.075511479888961,0.010553517820271712,PRUNED
15,0.9563542776495136,2026-04-23 14:38:12.553246,2026-04-23 14:38:30.903517,0 days 00:00:18.350271,8,175,6.1585300706030335,0.03876930129399186,COMPLETE
