number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.956348367576965,2026-04-23 14:13:37.830595,2026-04-23 14:13:45.956526,0 days 00:00:08.125931,0.6624074561769746,0.1205712628744377,8,144,0.8394633936788146,COMPLETE
1,0.9564601285170483,2026-04-23 14:13:45.958526,2026-04-23 14:13:52.953271,0 days 00:00:06.994745,0.8832290311184181,0.19030368381735815,3,89,0.8404460046972835,COMPLETE
2,0.9563407229998623,2026-04-23 14:13:52.956271,2026-04-23 14:13:59.975485,0 days 00:00:07.019214,0.6727299868828402,0.16967533607196555,8,55,0.6849356442713105,COMPLETE
3,0.9562900872115047,2026-04-23 14:13:59.978485,2026-04-23 14:14:07.175856,0 days 00:00:07.197371,0.7164916560792167,0.05958389350068958,4,96,0.7727780074568463,COMPLETE
4,0.956538420955463,2026-04-23 14:14:07.177857,2026-04-23 14:14:14.994418,0 days 00:00:07.816561,0.7824279936868144,0.027010527749605478,3,203,0.7465447373174767,COMPLETE
5,0.9565182287990431,2026-04-23 14:14:14.997430,2026-04-23 14:14:24.342722,0 days 00:00:09.345292,0.6185801650879991,0.05748924681991978,4,247,0.836965827544817,COMPLETE
6,0.9563822071776786,2026-04-23 14:14:24.345723,2026-04-23 14:14:27.053289,0 days 00:00:02.707566,0.9862528132298237,0.012476394272569451,4,202,0.9795542149013333,PRUNED
7,0.9562907746638563,2026-04-23 14:14:27.056289,2026-04-23 14:14:30.084484,0 days 00:00:03.028195,0.7760609974958406,0.013940346079873234,4,252,0.8736932106048627,PRUNED
8,0.9565277424364714,2026-04-23 14:14:30.087484,2026-04-23 14:14:32.806280,0 days 00:00:02.718796,0.7035119926400067,0.011240768803005551,5,80,0.9637281608315128,PRUNED
9,0.9564217537235303,2026-04-23 14:14:32.809279,2026-04-23 14:14:41.771397,0 days 00:00:08.962118,0.6739417822102108,0.05864129169696527,4,216,0.8186841117373118,COMPLETE
10,0.9564695636795483,2026-04-23 14:14:41.774397,2026-04-23 14:14:45.451766,0 days 00:00:03.677369,0.8560354009870224,0.023969116039403743,6,289,0.6071847502459279,PRUNED
11,0.9565699003882772,2026-04-23 14:14:45.454765,2026-04-23 14:14:48.301998,0 days 00:00:02.847233,0.6025095803217662,0.030241001410559513,3,178,0.7339180704892945,PRUNED
12,0.9565082655867666,2026-04-23 14:14:48.304997,2026-04-23 14:14:58.421243,0 days 00:00:10.116246,0.7890856026631795,0.03538010595358952,6,248,0.9045389085798277,COMPLETE
13,0.9565786876931512,2026-04-23 14:14:58.423242,2026-04-23 14:15:01.636862,0 days 00:00:03.213620,0.6024305501679195,0.0981682907257874,3,285,0.7101303920313411,PRUNED
14,0.9563132839365375,2026-04-23 14:15:01.639375,2026-04-23 14:15:04.509994,0 days 00:00:02.870619,0.9421416426909119,0.022584683707525977,5,158,0.7702143284127456,PRUNED
15,0.9563770520686575,2026-04-23 14:15:04.511988,2026-04-23 14:15:13.069607,0 days 00:00:08.557619,0.8480872360506493,0.29596284206078805,3,239,0.6313849539867122,COMPLETE
16,0.956553155812605,2026-04-23 14:15:13.073606,2026-04-23 14:15:22.119976,0 days 00:00:09.046370,0.7526108537873285,0.04562044888767241,5,191,0.6737095088885845,COMPLETE
17,0.9564045751115721,2026-04-23 14:15:22.122978,2026-04-23 14:15:25.105726,0 days 00:00:02.982748,0.7493033372902733,0.039147136505991394,7,129,0.655525135021035,PRUNED
18,0.9564742886245118,2026-04-23 14:15:25.107727,2026-04-23 14:15:28.240266,0 days 00:00:03.132539,0.8376517807501337,0.01862943454617785,7,189,0.6820467093452918,PRUNED
19,0.9565865142095451,2026-04-23 14:15:28.243267,2026-04-23 14:15:31.593777,0 days 00:00:03.350510,0.7435265911827522,0.045119953470935364,5,216,0.7438460427066483,PRUNED
20,0.9565084967173454,2026-04-23 14:15:31.596777,2026-04-23 14:15:39.881014,0 days 00:00:08.284237,0.8171702947843617,0.08422027996910578,6,118,0.7884853325896573,COMPLETE
21,0.9564960935221877,2026-04-23 14:15:39.886015,2026-04-23 14:15:48.788436,0 days 00:00:08.902421,0.9003988944050103,0.06205598327545047,4,232,0.9054989579659412,COMPLETE
22,0.9566118534107382,2026-04-23 14:15:48.791437,2026-04-23 14:15:52.402165,0 days 00:00:03.610728,0.6393783999957466,0.029412805200424167,5,273,0.7236614416573364,PRUNED
23,0.9565353301462307,2026-04-23 14:15:52.404165,2026-04-23 14:15:55.355360,0 days 00:00:02.951195,0.7597733567624084,0.047707579279394556,4,164,0.6733774194453591,PRUNED
