feature,importance
cat__transaction_type_cashout,0.9966437385261718
remainder__amount_ngn,0.0011731550377761626
remainder__fee_to_amount_ratio,0.0009075649023643932
remainder__balance_after_ngn,0.00057107831048314
remainder__balance_to_amount_ratio,0.00038297489305757267
remainder__hour,0.0001004880747651906
cat__channel_web,5.506461935995212e-05
remainder__day_of_week,5.234211919807814e-05
cat__device_os_feature_phone,4.471595175444732e-05
cat__channel_ussd,1.2117551629704422e-05
remainder__is_round_amount,1.0996570134364857e-05
remainder__churn_30d,8.536228740865099e-06
cat__transaction_type_p2p_send,8.151429451176355e-06
remainder__is_night,6.23175003764678e-06
cat__channel_app,4.718330098836987e-06
cat__transaction_type_billpay,3.786372825892359e-06
remainder__fee_ngn,3.7686408694829944e-06
cat__device_os_ios,2.8388046380717288e-06
cat__kyc_tier_tier3,2.332200096185387e-06
cat__kyc_tier_tier2,1.918324648921354e-06
