feature,importance
cat__transaction_type_cashout,0.9753574
remainder__is_round_amount,0.0016300097
remainder__is_night,0.0014481345
remainder__amount_ngn,0.0013011951
cat__transaction_type_cashin,0.0012383288
cat__kyc_tier_tier2,0.0012013365
remainder__day_of_week,0.0011724096
cat__channel_ussd,0.001146061
cat__channel_web,0.0011400236
cat__kyc_tier_tier3,0.0011372657
cat__channel_app,0.001135111
remainder__balance_to_amount_ratio,0.0011228389
cat__transaction_type_p2p_send,0.0011161879
remainder__balance_after_ngn,0.0011107516
remainder__hour,0.001107858
remainder__fee_to_amount_ratio,0.0011056165
cat__device_os_feature_phone,0.0010894444
remainder__fee_ngn,0.0010724849
cat__transaction_type_p2p_receive,0.0010476551
cat__device_os_ios,0.0009922375
