iter	Logloss
0	0.5999266815
1	0.5270531947
2	0.4684408086
3	0.42063451
4	0.3812891045
5	0.3482234828
6	0.3208115451
7	0.2977348773
8	0.2786063881
9	0.2622135684
10	0.2485301768
11	0.2368362007
12	0.2271233584
13	0.2188005015
14	0.2119170659
15	0.2060435689
16	0.2010458819
17	0.1967957052
18	0.1932970092
19	0.190372935
20	0.1878902702
21	0.1858424689
22	0.1841123676
23	0.1826580257
24	0.1814396248
25	0.180444919
26	0.1795949529
27	0.1789409739
28	0.1783671862
29	0.1779006735
30	0.1774988136
31	0.1771450005
32	0.1768682537
33	0.1766396891
34	0.1764991201
35	0.1763045375
36	0.1761319644
37	0.1760039247
38	0.1758641135
39	0.1757524331
40	0.1756589807
41	0.1755752716
42	0.1755392736
43	0.1754355183
44	0.1753602982
45	0.1752882754
46	0.1752275956
47	0.1751690483
48	0.1751115824
49	0.1750667235
50	0.1750291373
51	0.1749833991
52	0.1749444822
53	0.1749029357
54	0.174808658
55	0.1747543526
56	0.1747041639
57	0.174638279
58	0.174593338
59	0.1745569814
60	0.174479002
61	0.1744263
62	0.1743742561
63	0.1743126698
64	0.1742443097
65	0.1741526915
66	0.1740884819
67	0.1740620251
68	0.1740476411
69	0.1740072918
70	0.1739808528
71	0.1738976453
72	0.1738473403
73	0.1738233859
74	0.1737519798
75	0.1736773078
76	0.1736158485
77	0.1735488059
78	0.1735183875
79	0.1734686832
80	0.1734131762
81	0.1733836581
82	0.1733349908
83	0.1733003654
84	0.173246088
85	0.173167827
86	0.1731437232
87	0.1731287715
88	0.1730958983
89	0.1730494843
90	0.1730131302
91	0.1729553369
92	0.1729351571
93	0.1728934053
94	0.1728114223
95	0.1727644227
96	0.1727240435
97	0.1726419423
98	0.1725851943
99	0.172557148
100	0.1725135142
101	0.1724432926
102	0.1723513343
103	0.1723009961
104	0.1722765166
105	0.1722544937
106	0.1722454561
107	0.1722332414
108	0.1721960265
109	0.1721801968
110	0.1721612809
111	0.1721436755
112	0.172102705
113	0.1720699565
114	0.1720460466
115	0.1720264041
116	0.1720057068
117	0.1719741433
118	0.1719449374
119	0.1719203345
120	0.1719073792
121	0.1718734004
122	0.1718427633
123	0.1718054244
124	0.1717933947
125	0.1717825521
126	0.1717340266
127	0.1716813024
128	0.1716433245
129	0.1716273009
130	0.1716047923
131	0.1715892487
132	0.1715519511
133	0.1715169926
134	0.1714822699
135	0.1714548187
136	0.1714430383
137	0.1714113433
138	0.1713472017
139	0.1713144932
140	0.1712601515
141	0.1712091408
142	0.1711501522
143	0.1710852795
