iter	Passed	Remaining
0	16	2377
1	24	1772
2	32	1508
3	37	1318
4	44	1243
5	48	1115
6	53	1055
7	59	1003
8	64	973
9	67	907
10	74	899
11	80	882
12	85	860
13	91	847
14	96	833
15	101	815
16	105	790
17	112	784
18	117	770
19	122	759
20	128	751
21	133	739
22	139	731
23	145	728
24	151	719
25	157	714
26	162	706
27	165	684
28	170	677
29	177	672
30	182	664
31	188	659
32	194	654
33	199	645
34	203	634
35	209	629
36	214	621
37	220	615
38	226	609
39	231	602
40	238	598
41	244	592
42	249	586
43	255	581
44	261	574
45	266	567
46	272	562
47	278	556
48	283	550
49	289	545
50	295	538
51	301	532
52	307	527
53	313	521
54	319	516
55	325	511
56	330	505
57	337	500
58	342	494
59	347	487
60	354	481
61	359	475
62	364	469
63	372	465
64	378	459
65	384	454
66	391	449
67	396	442
68	399	434
69	405	428
70	410	421
71	415	415
72	422	410
73	427	404
74	432	398
75	438	392
76	444	386
77	450	381
78	456	375
79	464	371
80	471	366
81	476	360
82	482	354
83	488	349
84	493	342
85	499	337
86	505	331
87	510	324
88	517	319
89	522	313
90	527	307
91	533	301
92	538	295
93	543	289
94	549	283
95	555	277
96	560	271
97	567	266
98	572	260
99	577	254
100	584	248
101	589	242
102	595	237
103	601	231
104	606	225
105	612	219
106	617	213
107	623	207
108	628	201
109	634	196
110	639	190
111	645	184
112	650	178
113	656	172
114	661	166
115	667	161
116	672	155
117	679	149
118	685	143
119	690	138
120	696	132
121	702	126
122	707	120
123	713	115
124	718	109
125	723	103
126	730	97
127	735	91
128	741	86
129	747	80
130	752	74
131	758	68
132	764	63
133	769	57
134	775	51
135	781	45
136	786	40
137	792	34
138	798	28
139	803	22
140	809	17
141	815	11
142	820	5
143	827	0
